[2022-03-31 09:46:40] open
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.60min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.4hour","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.1day","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.1week","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.trade.detail","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.detail","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.depth.step0","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.1min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.5min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.15min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.30min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.60min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.4hour","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.1day","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.kline.1week","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.trade.detail","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"axsusdt","status":"ok","subbed":"market.axsusdt.detail","ts":1648691201046}
